Order_ID,Order_Date,Customer_ID,City,Product,Category,Quantity,Sales,Discount,Profit,Year,Month,Profit_Margin
1000,2024-09-07,CUST915,Mumbai,Tablet,Electronics,3,7960.0,0.05,2567.7530039697094,2024,9,0.3225820356745866
1001,2024-06-24,CUST661,Delhi,Tablet,Electronics,4,2939.0,0.15,940.1130482183032,2024,6,0.31987514400078365
1003,2024-12-21,CUST844,Mumbai,Laptop,Others,4,6290.0,0.05,3511.8833077583,2024,12,0.5583280298502862
1004,2024-12-16,CUST764,Delhi,Printer,Electronics,4,6413.0,0.05,2760.942507576993,2024,12,0.4305227674375477
1005,2024-04-21,CUST671,Delhi,Laptop,Electronics,1,2690.0,0.0,1522.7934246474454,2024,4,0.5660942099061135
1006,2024-12-21,CUST303,Mumbai,Printer,Electronics,2,3744.0,0.15,3069.327312523426,2024,12,0.8197989616782655
1007,2024-04-04,CUST971,Kolkata,Phone,Electronics,2,9860.0,0.0,2145.73372732724,2024,4,0.21762005348146451
1008,2024-08-24,CUST781,Chennai,Printer,Others,2,4179.0,0.0,2368.8615969619414,2024,8,0.5668489104957983
1009,2024-01-30,CUST663,Delhi,Phone,Electronics,4,3586.0,0.0,2603.676358022125,2024,1,0.726067026776945
1011,2024-06-30,CUST835,Delhi,Laptop,Electronics,2,4949.0,0.1,1684.6739925149373,2024,6,0.3404069493867321
1012,2024-02-02,CUST348,Mumbai,Phone,Others,5,6688.0,0.05,3097.469352373428,2024,2,0.4631383601036824
1013,2024-04-07,CUST338,Mumbai,Tablet,Electronics,4,9089.0,0.15,4419.638757375646,2024,4,0.4862623784107873
1014,2024-06-02,CUST852,Delhi,Printer,Electronics,1,177.0,0.0,132.1072919886159,2024,6,0.7463688812916153
1015,2024-09-08,CUST557,Delhi,Phone,Others,3,4334.0,0.15,1994.6882255566725,2024,9,0.46024186099600195
1016,2024-03-09,CUST270,Chennai,Phone,Electronics,5,5387.0,0.0,3574.483052827879,2024,3,0.6635387140946499
1017,2024-06-08,CUST225,Delhi,Tablet,Electronics,5,3679.0,0.0,3491.5876170248425,2024,6,0.9490588793217838
1018,2024-06-17,CUST888,Delhi,Laptop,Electronics,1,7960.0,0.0,6855.099728503112,2024,6,0.8611934332290341
1019,2024-07-21,CUST192,Delhi,Laptop,Electronics,3,7960.0,0.1,4484.058590176209,2024,7,0.5633239434894735
1022,2024-10-12,CUST916,Chennai,Phone,Others,3,5660.0,0.0,3797.247109319901,2024,10,0.6708917154275443
1023,2024-11-09,CUST701,Delhi,Printer,Electronics,1,9437.0,0.15,842.8744392430111,2024,11,0.0893159308300319
1025,2024-10-04,CUST407,Mumbai,Tablet,Electronics,4,2243.0,0.0,429.3470520617456,2024,10,0.19141642980907073
1026,2024-05-18,CUST546,Delhi,Laptop,Others,3,6388.0,0.0,2017.3339088759772,2024,5,0.3158005492917935
1029,2024-07-14,CUST172,Delhi,Tablet,Electronics,2,9917.0,0.0,3058.4658078437774,2024,7,0.308406353518582
1030,2024-05-31,CUST312,Kolkata,Phone,Electronics,2,1928.0,0.15,495.5191419645225,2024,5,0.257012003093632
1031,2024-06-10,CUST493,Chennai,Phone,Electronics,1,2236.0,0.0,339.5118292716429,2024,6,0.1518389218567276
1032,2024-10-14,CUST601,Delhi,Printer,Electronics,3,8627.0,0.05,1456.2833290752155,2024,10,0.168805300692618
1033,2024-09-08,CUST228,Kolkata,Laptop,Electronics,3,5434.0,0.0,3925.365674135781,2024,9,0.722371305508977
1034,2024-08-25,CUST860,Kolkata,Laptop,Others,5,6719.0,0.05,5653.628948371303,2024,8,0.8414390457465847
1035,2024-01-05,CUST562,Delhi,Printer,Electronics,5,7041.0,0.15,3569.6872764445247,2024,1,0.5069858367340612
1036,2024-03-25,CUST914,Delhi,Laptop,Electronics,5,2236.0,0.0,1345.807355605857,2024,3,0.6018816438308842
1037,2024-08-16,CUST897,Mumbai,Laptop,Others,2,2735.0,0.1,2294.2900216004805,2024,8,0.8388628963804317
1038,2024-07-21,CUST146,Kolkata,Tablet,Electronics,3,8515.0,0.05,595.937250443763,2024,7,0.06998675871330158
1039,2024-08-21,CUST940,Delhi,Tablet,Others,3,9604.0,0.0,4049.048855078398,2024,8,0.42160025563082026
1041,2024-09-11,CUST172,Delhi,Phone,Electronics,2,6719.0,0.0,4818.390182022427,2024,9,0.7171290641497883
1042,2024-03-02,CUST873,Delhi,Laptop,Electronics,4,9045.0,0.0,3096.6305239487497,2024,3,0.3423582668821172
1043,2024-04-17,CUST399,Delhi,Laptop,Electronics,2,9015.0,0.05,5859.655825989281,2024,4,0.6499895536316451
1044,2024-11-25,CUST437,Chennai,Phone,Electronics,4,7292.0,0.1,3238.0236206843715,2024,11,0.4440515113390526
1046,2024-01-26,CUST474,Kolkata,Phone,Electronics,1,9604.0,0.15,1868.9647012997136,2024,1,0.19460273857764615
1047,2024-11-12,CUST666,Delhi,Tablet,Others,3,6569.0,0.0,1331.022945079658,2024,11,0.20262185189216897
1050,2024-09-05,CUST138,Mumbai,Laptop,Electronics,5,767.0,0.05,684.8034909229805,2024,9,0.892833756092543
1051,2024-12-09,CUST518,Delhi,Tablet,Electronics,1,4271.0,0.0,1011.1130329181884,2024,12,0.23673917886166904
1052,2024-11-28,CUST118,Delhi,Phone,Electronics,1,6338.0,0.1,1689.719966842339,2024,11,0.26660144633044164
1054,2024-11-06,CUST520,Delhi,Printer,Others,1,6765.0,0.1,1553.165671521915,2024,11,0.229588421511
1055,2024-04-16,CUST318,Delhi,Phone,Others,4,5393.0,0.15,1724.3874131979403,2024,4,0.3197454873350529
1057,2024-08-10,CUST952,Chennai,Phone,Others,3,3744.0,0.15,1286.447772870736,2024,8,0.34360250343769655
1058,2024-08-18,CUST362,Delhi,Phone,Electronics,3,7341.0,0.0,5952.649546685777,2024,8,0.8108772029268188
